Date,Band,date.x,month.x,Microfilaria_Infected,num_fieldsinspected,field1_erythrocytes,field2_erythrocytes,field3_erythrocytes,field4_erythrocytes,field5_erythrocytes,average_erythrocytes,total_erythrocytes,heterophil,lymphocyte,eosinophil,thrombocyte,monocyte,basophil,H.L_ratio,total_leukocyte,notes,Species,Extraction_date,MF,pox_type,Sex,PCR_sex,use_sex,Plumage,Estado.reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing.Chord,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,season,trad_season,wet_dry,month.y,Microscopy,PCR,Body_condition
1-Mar-23,SM1773,7-Feb-23,February,U,11,400,350,300,350,200,320,3520,0,0,0,0,0,0,NA,0,EL CITPLASMA ESTA DE COLOR Y EL NUCLEO SIN COLOR,FOR,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,1,1,wet,2,mic,NA,37.41314943
1-Mar-23,SM1784,7-Feb-23,February,U,11,300,270,130,120,200,204,2244,0,0,0,0,0,0,NA,0,,CRA,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,1,1,wet,2,mic,NA,31.11711922
2-Mar-23,SMC196,2-Mar-23,February,U,11,500,296,563,333,400,418.4,4602.4,0,39,0,0,2,0,0,41,TINCION TORTUGAS TERRESTRES,GAMO,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,1,1,wet,2,mic,NA,41.35923275
2-Mar-23,SM1850,2-Mar-23,March,U,11,453,337,401,437,414,408.4,4492.4,0,3,0,0,1,0,0,4,20SEG TINCION,FOR,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,1,1,wet,3,mic,NA,21.78457174
2-Mar-23,JP5867,2-Mar-23,March,U,11,180,150,100,110,260,160,1760,0,25,0,0,1,0,0,26,15SEG TINCION,CRA,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,1,1,wet,3,mic,NA,31.51496142
10-Mar-23,SM1715,2-Feb-23,February,U,43,200,150,200,120,220,178,7654,0,34,0,0,4,0,0,38,,SCA,NA,neg,NA,F,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,1,1,wet,2,mic,NA,22.81161347
13-Mar-23,SM1732,2-Feb-23,February,U,35,450,350,210,300,250,312,10920,0,91,0,17,3,1,0,112,,MAG,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,1,1,wet,2,mic,NA,NA
14-Mar-23,SM1741,3-Feb-23,February,U,12,250,280,300,340,250,284,3408,3,7,0,2,0,3,0.428571429,15,las celulas estan muy unidas,CRA,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,1,1,wet,2,mic,NA,32.64455762
14-Mar-23,SM1795,7-Feb-23,February,U,36,470,330,200,190,300,298,10728,1,59,0,54,11,7,0.016949153,132,,SCA,3-Jul-24,pos,#N/A,M,M,M,1,CP1,15.41,9.53,7.45,7.45,69,15.22,I,A,9.45,1,1,wet,2,mic,PCR,17.43151083
15-Mar-23,SM1735,2-Feb-23,February,U,40,380,400,420,300,250,350,14000,0,33,0,12,0,0,0,45,,FOR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,1,1,wet,2,mic,NA,19.56350469
