observation_date,min_air_temp,max_air_temp,mean_air_temp,sea_temp,humidity,precipitation,sunshine_hours,clouds,,
1/1/2023,20.9,27.5,24.6,23.5,95,0,5.7,6,Jan,0.174193548
1/2/2023,19.6,27.7,24.5,23.3,97,0,8.3,2,Feb,1.075
1/3/2023,19.9,27.8,24.1,22.5,97,0,3.9,6,Mar,1.990322581
1/4/2023,18.2,28.5,24.3,22.2,93,0,6.4,4,Apr,5.913333333
1/5/2023,21,28.3,25.1,22.4,95,0,7.2,5,May,2.741935484
1/6/2023,21.2,28.1,25.4,22.9,94,0,6.3,6,Jun,0.77
1/7/2023,19.9,29.4,25.1,22.7,96,0,7.1,5,Jul,0.474193548
1/8/2023,19.8,28.3,24.4,22.9,96,0,8.9,4,Aug,0.135483871
1/9/2023,18.2,27.5,24,24,95,0,10.3,4,sep,0.5
1/10/2023,16.4,28,23.2,23.5,94,0,9.8,1,oct,3.535483871
1/11/2023,17,28.3,23.9,23.5,97,0,6.9,4,nov,1.19
1/12/2023,19,29.2,25,23.8,96,0,10.7,3,dec,0.483870968
1/13/2023,21,27.6,25.1,24,94,0,7.3,4,jan,1.635483871
1/14/2023,21.2,27.6,25.6,23.8,95,0,3.9,6,feb,20.85862069
1/15/2023,20.8,29.2,25.7,23.8,94,0.1,6.3,5,mar,6.387096774
1/16/2023,21.3,29.6,26.1,24,93,0,6.1,3,,
1/17/2023,21.4,28.6,25.1,23.2,96,5.3,3.9,6,,
1/18/2023,21.4,29.3,26.1,24.8,96,0,8.7,4,,
1/19/2023,19.4,29.8,26.3,24.5,94,0,6.4,4,,
1/20/2023,20,30.5,26,24.9,95,0,8.9,5,,
1/21/2023,20.5,29.3,26,25,96,0,8,4,,
1/22/2023,20.4,30.5,26.3,24.8,96,0,9.8,4,,
1/23/2023,19.8,30,26,24.8,96,0,9.7,2,,
1/24/2023,19.9,30.6,26.3,24.9,96,0,8.3,3,,
1/25/2023,20,29.2,25.7,25.2,96,0,5.1,5,,
1/26/2023,21.4,29.4,26.1,24.5,95,0,9.6,3,,
1/27/2023,21.2,28.2,26.1,24.6,95,0,9.9,3,,
1/28/2023,21,28.9,26.4,24.4,93,0,9.5,5,,
1/29/2023,19,29.5,26.1,24.8,95,0,5.5,7,,
1/30/2023,21,29.6,26.4,25.2,95,0,9.2,5,,
1/31/2023,21.4,31.5,26.9,25.2,96,0,4,5,,
2/1/2023,21.9,30.5,27.2,25.5,96,0,8.7,4,,
2/2/2023,21,32,27.5,26,94,0.6,9.8,3,,
2/3/2023,19.6,32.2,27,25.8,96,0,9.1,3,,
2/4/2023,20.1,33.1,28,26,92,0,9.6,4,,
2/5/2023,21,33.5,28,26,95,10.5,8.8,3,,
2/6/2023,21.6,34,28.5,26.5,94,0.3,10,2,,
